trade_date,decision_time,entry_time,benchmark,leader,laggard,members,leader_return,laggard_return,leader_laggard_gap,conditional_lower_tail,frozen_rho,candidate_gross_return,peer_control_gross_return,paired_gross_edge
2026-04-27,2026-04-27T14:00:00+08:00,2026-04-27T14:05:00+08:00,HSTECH,513130,513260,"['513130', '513180', '513010', '513260', '513380']",0.0032257648958256002,-0.0008236635352133481,0.004049428431038948,0.0007602538308366102,0.877645500015771,0.0,0.0,0.0
2026-04-28,2026-04-28T14:00:00+08:00,2026-04-28T14:05:00+08:00,N225,513000,513880,"['513520', '513880', '513000']",0.002455734768934903,-0.0015889941539461994,0.004044728922881102,0.0021801701627363057,0.7271660968766508,0.0021220518467448546,0.0049030391236920545,-0.0027809872769472
2026-04-30,2026-04-30T10:00:00+08:00,2026-04-30T10:05:00+08:00,931250,520970,513780,"['513780', '520700', '520970']",0.002344705615589193,-0.0006316661754209862,0.0029763717910101795,0.006552834752253989,0.9122646867872438,0.004424759422544833,0.004309152100021474,0.00011560732252335892
2026-05-07,2026-05-07T10:30:00+08:00,2026-05-07T10:35:00+08:00,HSTECH,513180,513130,"['513130', '513180', '513010', '513260', '513380']",0.0030863800075719983,0.0,0.0030863800075719983,0.030963409105776607,0.8487839138430222,0.0015673779113785091,-0.0016495157591083776,0.0032168936704868867
2026-05-07,2026-05-07T10:30:00+08:00,2026-05-07T10:35:00+08:00,931573,513860,513980,"['513980', '513020', '513860', '513150', '513560']",0.0030074799793382567,0.0,0.0030074799793382567,0.03281018011078046,0.865904918993439,-0.0014992310822049548,-0.000877795405507753,-0.0006214356766972018
2026-05-07,2026-05-07T13:30:00+08:00,2026-05-07T13:35:00+08:00,N225,513000,513520,"['513520', '513880', '513000']",0.0027472719412773294,-0.0013730073498393613,0.004120279291116691,0.002773335863544113,0.7705098530674507,-0.0022904783508730375,-0.004255395111337379,0.0019649167604643414
2026-05-12,2026-05-12T13:30:00+08:00,2026-05-12T13:35:00+08:00,931637,513770,520650,"['513040', '513770', '520650']",0.004716990747011485,0.0,0.004716990747011485,0.026245287550428154,0.8088986901819207,-0.001385023713897704,-0.0036768739185202293,0.0022918502046225253
2026-05-12,2026-05-12T13:30:00+08:00,2026-05-12T13:35:00+08:00,HSTECH,513010,513380,"['513130', '513180', '513010', '513260', '513380']",0.0030074799793382567,0.0,0.0030074799793382567,0.04797022553273922,0.8307562602508719,-0.003413026909868555,-0.0019948644857116227,-0.0014181624241569324
2026-05-13,2026-05-13T13:30:00+08:00,2026-05-13T13:35:00+08:00,931637,513040,513770,"['513040', '513770', '520650']",0.002650195284198409,0.0,0.002650195284198409,0.032688689788049285,0.8258414457361911,-0.0047058917576876524,-0.006282862435997849,0.0015769706783101967
2026-05-15,2026-05-15T10:00:00+08:00,2026-05-15T10:05:00+08:00,931250,520970,520700,"['513780', '520700', '520970']",0.003745344549821228,0.0013917704943327003,0.0023535740554885276,0.0400953537112263,0.9267084223805983,-0.009756055416787257,-0.008396352803818785,-0.001359702612968472
2026-05-15,2026-05-15T14:00:00+08:00,2026-05-15T14:05:00+08:00,NDX,513100,513300,"['513100', '513300', '513110', '513390', '513870']",0.0023958383789273174,-0.0019630452128506226,0.00435888359177794,0.00024115986860712146,0.6544647509967851,0.0007865094272845319,-3.872204198557272e-05,0.0008252314692701046
2026-05-20,2026-05-20T10:30:00+08:00,2026-05-20T10:35:00+08:00,HSTECH,513010,513180,"['513130', '513180', '513010', '513260', '513380']",0.003149659662166515,-0.0016207247190804797,0.004770384381246995,0.0005378597236508909,0.854869487048799,0.0,-0.00162931290055085,0.00162931290055085
